issueID,time,action,label,user,milestone,identifier
1,1455049010,closed,closed,group14/user3,1,544871667
1,1453843418,labeled,ProjectPlanning,group14/user1,1,527124404
1,1453842951,milestoned,Feb 1st,group14/user1,1,527114191
2,1456007568,closed,closed,group14/user3,1,557854485
2,1456007495,milestoned,Feb 1st,group14/user3,1,557854266
3,1455049010,closed,closed,group14/user3,,544871669
4,1455048968,closed,closed,group14/user3,,544870919
4,1454372599,labeled,ProjectPlanning,group14/user3,,535063114
5,1456892159,closed,closed,group14/user3,3,574117563
5,1456008067,demilestoned,Feb 1st,group14/user3,3,557856716
5,1456008067,milestoned,March 1,group14/user3,3,557856715
5,1456007486,milestoned,Feb 1st,group14/user3,3,557854234
6,1456267498,closed,closed,group14/user1,4,562539246
6,1456009962,demilestoned,March 1,group14/user3,4,557872015
6,1456009962,milestoned,Feb 22,group14/user3,4,557872014
6,1456007864,milestoned,March 1,group14/user2,4,557855707
6,1456007864,labeled,ProjectPlanning,group14/user2,4,557855706
7,1456269841,closed,closed,group14/user2,4,562593530
7,1456009949,demilestoned,March 1,group14/user3,4,557871943
7,1456009949,milestoned,Feb 22,group14/user3,4,557871942
7,1456007979,milestoned,March 1,group14/user3,4,557856314
7,1456007979,labeled,ProjectPlanning,group14/user3,4,557856313
8,1456892174,closed,closed,group14/user3,3,574117851
8,1456008397,milestoned,March 1,group14/user3,3,557858176
8,1456008391,labeled,solutions,group14/user3,3,557858139
9,1456707869,closed,closed,group14/user2,4,570248865
9,1456707811,reopened,reopened,group14/user2,4,570247676
9,1456014334,closed,closed,group14/user2,4,557894185
9,1456009957,demilestoned,March 1,group14/user2,4,557871998
9,1456009957,milestoned,Feb 22,group14/user2,4,557871997
9,1456008748,assigned,group14/user2,group14/user2,4,557862124
9,1456008734,labeled,design,group14/user2,4,557862043
9,1456008727,milestoned,March 1,group14/user2,4,557861990
10,1456793923,closed,closed,group14/user2,4,572200813
10,1456793503,reopened,reopened,group14/user2,4,572193116
10,1456707971,closed,closed,group14/user2,4,570250989
10,1456707907,reopened,reopened,group14/user2,4,570249697
10,1456014284,closed,closed,group14/user3,4,557893674
10,1456009946,demilestoned,March 1,group14/user2,4,557871923
10,1456009946,milestoned,Feb 22,group14/user2,4,557871922
10,1456009199,assigned,group14/user3,group14/user3,4,557864797
10,1456009188,milestoned,March 1,group14/user3,4,557864760
10,1456009188,labeled,design,group14/user3,4,557864759
11,1456270021,closed,closed,group14/user1,4,562597141
11,1456009937,demilestoned,March 1,group14/user2,4,557871849
11,1456009937,milestoned,Feb 22,group14/user2,4,557871848
11,1456009667,milestoned,March 1,group14/user3,4,557867891
11,1456009667,assigned,group14/user1,group14/user1,4,557867890
11,1456009667,labeled,design,group14/user3,4,557867889
12,1456270017,closed,closed,group14/user1,4,562597047
12,1456009901,demilestoned,March 1,group14/user2,4,557871397
12,1456009901,milestoned,Feb 22,group14/user2,4,557871396
12,1456009838,milestoned,March 1,group14/user3,4,557870481
12,1456009838,assigned,group14/user1,group14/user1,4,557870480
12,1456009838,labeled,design,group14/user3,4,557870478
13,1456270008,closed,closed,group14/user1,4,562596910
13,1456009922,demilestoned,March 1,group14/user3,4,557871694
13,1456009922,milestoned,Feb 22,group14/user3,4,557871693
