group,1,2,3,4,5,6,7,8,9,10
1,1454302800.0,1455166800.0,1455426000.0,1455771600.0,1456117200.0,1456117200.0,1456203600.0,1456722000.0,1456722000.0,1456808400.0
group,2,3,4,5,6,7,8,9
2,1454893181.0,1456635600.0,1456722000.0,1456635600.0,1456464113.0,1456808400.0,1456808400.0,1456808400.0
group,8,1,2,3
3,1456030800.0,1452808201.0,1456376400.0,1456635600.0
group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4,1456722000.0,1456722000.0,1455166800.0,1456722000.0,1456030800.0,1456030800.0,1456549200.0,1456722000.0,1456030800.0,1456722000.0,1455987722.0,1456206572.0,1456207323.0,1456210731.0,1456875710.0
group,1,2,3
5,1454301893.0,1454648400.0,1456808400.0
group,1,2,3,4,5
6,1456722000.0,1456722000.0,1456635600.0,1456808400.0,1456893376.0
group,1,2,5,6,7,8
7,1454302800.0,1456808400.0,1455080400.0,1455685200.0,1456290000.0,1456981200.0
group,1,2,3
8,1452808204.0,1454302800.0,1456808400.0
group,1,2,4,5
9,1454302800.0,1454614841.0,1456635600.0,1456808400.0
group,1,2,5,6,7
10,1454302800.0,1456808400.0,1456376400.0,1455728510.0,1455728524.0
group,1,2
11,1454302800.0,1456808400.0
group,1,3,5,6,8,9,10,11,12
12,1454302800.0,1456808400.0,1454994000.0,1454821200.0,1455339600.0,1456808400.0,1455174206.0,1456808400.0,1456808400.0
group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
13,1454208784.0,1455858000.0,1455944400.0,1455944400.0,1456030800.0,1456808400.0,1456030800.0,1456210218.0,1456635600.0,1456290000.0,1456376400.0,1456635600.0,1456808400.0,1456635600.0,1456531760.0
group,1,3,4,5,6
14,1454302800.0,1456808400.0,1456030800.0,1456203600.0,1456635600.0
