group,1,2,3,4,5,6,7,8,9,10
1,1455157054.0,1456216282.0,1455575172.0,1456004895.0,1456004911.0,1456465385.0,1456465395.0,1456947890.0,1456981620.0,1456981626.0
group,2,3,4,5,6,7,8,9
2,1456708047.0,1456708061.0,1456708062.0,1456708058.0,1456708050.0,1456707991.0,1456708079.0,1456708099.0
group,8,1,2,3
3,1457013374.0,1454687066.0,1454625249.0,1454625310.0
group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4,1456724743.0,1456808632.0,1455129301.0,1456752207.0,1456624949.0,1456624952.0,1456636146.0,1456723933.0,1456624945.0,1456724635.0,1455987722.0,1456765261.0,1456809027.0,1456809029.0,1456886144.0
group,1,2,3
5,1455839885.0,1455840033.0,1455848393.0
group,1,2,3,4,5
6,1456893446.0,1456894057.0,1456893351.0,1456893417.0,1456893376.0
group,1,2,5,6,7,8
7,1454451930.0,1457026319.0,1455136865.0,1455738533.0,1456346912.0,1457040479.0
group,1,2,3
8,1453586674.0,1454452536.0,1453431471.0
group,1,2,4,5
9,1454614905.0,1456890327.0,1456732615.0,1456890324.0
group,1,2,5,6,7
10,1454425577.0,1454425645.0,1455728482.0,1455728510.0,1455728524.0
group,1,2
11,1454364767.0,1453664401.0
group,1,3,5,6,8,9,10,11,12
12,1454710546.0,1456971242.0,1455727466.0,1456882579.0,1456882581.0,1456882588.0,1456882583.0,1456892731.0,1456882594.0
group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
13,1454388659.0,1456210050.0,1456210056.0,1456210058.0,1456210069.0,1455860663.0,1456210062.0,1456210526.0,1456211534.0,1456347478.0,1456347789.0,1456347396.0,1456347629.0,1456347754.0,1456531760.0
group,1,3,4,5,6
14,1456007470.0,1456894303.0,1456272116.0,1456893331.0,1456893333.0
