id,time,sha,user,message
1,1460060166,3e59273e60d89533c4fd80560f323c450d8cf703,group13/user1,Delete dummy application
2,1460059993,b9b0090abb08bc9fc09ca5f650c462bd255eed22,group13/user1,add a folder for final presentation
3,1460059505,7528552ee84ed42d1eae0b859b62558677e683b6,group13/user1,add final report
4,1460059368,6b428a7bb0839617cdd14b949b72bba0b041fa11,group13/user1,add final report
5,1460059029,f75a40a6f7858d81a0948be8a0c2ffb1cdee366c,group13/user1,remove dummy application
6,1457473492,4622c7671b28a7ddd31e98b35cc8d93a0d4d6f1f,group13/user1,merge nraina
7,1457472799,2dc41bbad0f8ee6faba9f9dc2db5133b5983b26a,group13/user1,bug fixes
8,1457110141,69823b840d799a6a09fc02973b97e7476aa1ad3c,group13/user2,"Merge pull request #53 from nikraina/kagarwa

Updated parking lot tables for Soln 3 with logs"
9,1457110048,400d39d31122e97e24178da2fc0e6456d92d963a,group13/user2,Updated parking lot tables for Soln 3 with logs
10,1457108485,26801dfbb70236b392cb6c73d61972569e19f156,group13/user2,"Merge pull request #52 from nikraina/kagarwa

Updated the parking lot tables for the 3 solution"
11,1457108379,9be0a45d615a590e264c9c21dd989ed6682f45ca,group13/user2,Updated the parking lot tables for the 3 solution
12,1457068459,5d0c8c04b21d195a92e829c85897d34ee664e8a2,group13/user2,"Merge pull request #51 from nikraina/kagarwa

Added Telemetry to 3 apps"
13,1457068116,904ba3f4f38fe4fe8404a0c7877fc1287fd63040,group13/user2,Added Telemetry to 3 apps
14,1457046968,e97d07abdd4a7525c47429787c2bbf89ba38a6cb,group13/user1,telemetry addition using google analytics
15,1457034221,fe447a7d693cd5a6e7a7a631a0dab17086d9d50e,group13/user1,unfortunately stopped error fixed
16,1456979518,12f37af24368137171d7322d056b87d44617e7f8,group13/user3,fixed .idea
17,1456965470,e41e582db7859647c043b5928059d60fef85656a,group13/user3,distance method
18,1456965131,dcf849119b3bdbb1fc8c4a77467547c880e7caeb,group13/user3,Merge branch 'ahmad'
19,1456965110,b4060dc4419953d2e7b3943d295054bbcc0d6b1c,group13/user3,Function for distance started
20,1456963758,0043f8df6a9e6004e664a676622f0dfd5bb0c194,group13/user4,Added Old files
21,1456963701,1f1f4c30248ffe5e75aa334777db76aad3dfb029,group13/user4,Added Map FIles
22,1456962692,67149399a532c564686f55958e53c35b3750100d,group13/user4,Added the map files
23,1456962529,a3683d7e5d167e81b03c62b2e9be620f0f30eaab,group13/user4,Added About page and Selection screen
24,1456962490,a5844b34dbcd3d7fa5a7bbfa436555f8220fffe6,group13/user4,Removed unneeded file
25,1456962182,f0487a2c7f6948d96d188d4dbd2e41a679cd28c3,group13/user4,Merge
26,1456961943,bad0b71e122b2f1492a40e5e0c3efe8edcfedb29,group13/user4,Merge
