groupID,Duration = 0,Duration > 20,Duration > 30,RelaxedUser Num,Issue wo Milstone,Issue Delayed
11,0.35714285714285715,0.10714285714285714,0.0,0.0,0.17857142857142858,0.5
10,0.509090909090909,0.0,0.0,0.0,0.0,0.32653061224489793
13,0.6595744680851063,0.0,0.0,0.5,0.5106382978723404,0.5263157894736842
12,0.28205128205128205,0.02564102564102564,0.0,0.5,0.1794871794871795,0.375
14,0.651685393258427,0.0,0.0,0.25,0.7415730337078652,0.0
1,0.2631578947368421,0.0,0.0,0.25,0.3684210526315789,0.08333333333333333
3,0.5384615384615384,0.1282051282051282,0.0,0.0,0.6153846153846154,0.0
2,0.375,0.0625,0.0,0.0,0.3125,0.15
5,0.6410256410256411,0.0,0.0,0.0,0.7948717948717948,0.0
4,0.6391752577319587,0.0,0.0,0.0,0.14432989690721648,0.42028985507246375
7,0.45098039215686275,0.0196078431372549,0.0,0.25,0.27450980392156865,0.2702702702702703
6,0.4,0.0,0.0,0.25,0.0,0.45
9,0.4186046511627907,0.11627906976744186,0.0,0.0,0.023255813953488372,0.02857142857142857
8,0.3484848484848485,0.015151515151515152,0.0,0.0,0.030303030303030304,0.32142857142857145
