id,title,description,created_at,due_at,closed_at,user,identifier
1,Project Abstract,(a) some documentation of some user problem and (b) some proof of technology competency by your tools with your team,1453664370,1454302800,1454364767,group11/user1,1539515
2,Prototype,all your ideas coded up,1453664401,1456808400,1453664401,group11/user1,1539516
