issueID,time,action,label,user,milestone,identifier
1,1452808322,closed,closed,group8/user2,1,515533017
1,1452808322,subscribed,subscribed,group8/user1,1,515533014
1,1452808322,mentioned,mentioned,group8/user1,1,515533013
1,1452808227,labeled,question,group8/user2,1,515531412
1,1452808204,milestoned,fir,group8/user2,1,515531136
2,1454347868,closed,closed,group8/user1,2,534526390
2,1453431054,subscribed,subscribed,group8/user3,2,522490185
2,1453431054,mentioned,mentioned,group8/user3,2,522490184
2,1453430928,labeled,in progress,group8/user1,2,522488882
2,1453424164,milestoned,Project proposal,group8/user1,2,522415928
2,1453424065,assigned,group8/user3,group8/user3,2,522414921
2,1453424065,unassigned,unassigned,group8/user4,2,522414920
2,1453424059,assigned,group8/user4,group8/user4,2,522414843
2,1453424059,unassigned,unassigned,group8/user2,2,522414842
2,1453424056,assigned,group8/user2,group8/user2,2,522414817
2,1453424056,unassigned,unassigned,group8/user1,2,522414816
2,1453424054,assigned,group8/user1,group8/user1,2,522414793
3,1454193050,closed,closed,group8/user2,2,532679868
3,1453430891,assigned,group8/user4,group8/user4,2,522488614
3,1453430891,unassigned,unassigned,group8/user1,2,522488613
3,1453430886,milestoned,Project proposal,group8/user1,2,522488553
3,1453430886,assigned,group8/user1,group8/user1,2,522488552
3,1453430886,labeled,in progress,group8/user1,2,522488551
4,1454193039,closed,closed,group8/user2,2,532679775
4,1453431342,milestoned,Project proposal,group8/user1,2,522493461
4,1453431202,labeled,in progress,group8/user1,2,522492136
4,1453431150,assigned,group8/user4,group8/user4,2,522491478
5,1454185121,closed,closed,group8/user1,2,532605215
5,1453776791,assigned,group8/user2,group8/user2,2,525913825
5,1453776791,unassigned,unassigned,group8/user1,2,525913824
5,1453431194,milestoned,Project proposal,group8/user1,2,522492058
5,1453431194,assigned,group8/user1,group8/user1,2,522492057
5,1453431194,subscribed,subscribed,group8/user4,2,522492056
5,1453431194,mentioned,mentioned,group8/user4,2,522492055
5,1453431194,labeled,in progress,group8/user1,2,522492050
6,1454193062,closed,closed,group8/user2,2,532680004
6,1453752989,unlabeled,design,group8/user1,2,525500000
6,1453752989,labeled,in progress,group8/user1,2,525499999
6,1453431251,milestoned,Project proposal,group8/user1,2,522492592
6,1453431251,assigned,group8/user2,group8/user2,2,522492591
6,1453431251,subscribed,subscribed,group8/user3,2,522492590
6,1453431251,mentioned,mentioned,group8/user3,2,522492589
6,1453431251,labeled,design,group8/user1,2,522492588
7,1454291123,closed,closed,group8/user1,2,533510387
7,1453431330,milestoned,Project proposal,group8/user1,2,522493374
7,1453431330,assigned,group8/user3,group8/user3,2,522493373
