issueID,time,action,label,user,milestone,identifier
1,1454377299,closed,closed,group7/user1,1,535134996
1,1452808116,labeled,Feb 1,group7/user1,1,515529617
1,1452711776,unassigned,unassigned,group7/user1,1,514085588
1,1452711773,assigned,group7/user1,group7/user1,1,514085535
1,1452711773,unassigned,unassigned,group7/user2,1,514085534
1,1452711771,assigned,group7/user2,group7/user2,1,514085492
1,1452710370,milestoned,February 1 Deliverable,group7/user1,1,514060763
2,1454377299,closed,closed,group7/user1,1,535134998
2,1452808098,labeled,Feb 1,group7/user1,1,515529281
2,1452710362,milestoned,February 1 Deliverable,group7/user1,1,514060639
3,1454377299,closed,closed,group7/user1,1,535134999
3,1454185400,milestoned,February 1 Deliverable,group7/user1,1,532607755
3,1453168003,labeled,Feb 1,group7/user3,1,518560694
4,1454377299,closed,closed,group7/user1,1,535135008
4,1454185394,labeled,Feb 1,group7/user1,1,532607708
4,1454185370,milestoned,February 1 Deliverable,group7/user1,1,532607591
5,1454348515,closed,closed,group7/user2,1,534542212
5,1454185385,milestoned,February 1 Deliverable,group7/user1,1,532607646
5,1454128919,renamed,renamed,group7/user2,1,532223210
5,1454128872,labeled,Feb 1,group7/user2,1,532222837
5,1454128872,labeled,question,group7/user2,1,532222836
6,1454377299,closed,closed,group7/user1,1,535135009
6,1454350453,milestoned,February 1 Deliverable,group7/user1,1,534589064
6,1454350451,labeled,Feb 1,group7/user1,1,534589014
6,1454350451,labeled,question,group7/user1,1,534589013
7,1455136794,closed,closed,group7/user1,2,546347946
7,1454621655,labeled,discussion,group7/user2,2,539836088
7,1454621153,labeled,in progress,group7/user2,2,539826636
7,1454620995,milestoned,Mar1 Deliverable,group7/user2,2,539823448
7,1454620995,labeled,Mar 1,group7/user2,2,539823446
8,1455136798,closed,closed,group7/user1,2,546348035
8,1454621212,milestoned,Mar1 Deliverable,group7/user2,2,539827779
8,1454621212,labeled,feature,group7/user2,2,539827778
8,1454621212,labeled,Mar 1,group7/user2,2,539827777
8,1454621212,labeled,help wanted,group7/user2,2,539827775
9,1456346928,closed,closed,group7/user1,2,564325818
9,1454621494,renamed,renamed,group7/user2,2,539832894
9,1454621447,milestoned,Mar1 Deliverable,group7/user2,2,539831925
9,1454621447,labeled,design,group7/user2,2,539831924
9,1454621447,labeled,discussion,group7/user2,2,539831923
9,1454621447,labeled,Mar 1,group7/user2,2,539831922
10,1454621540,closed,closed,group7/user4,,539833812
11,1456692782,closed,closed,group7/user1,2,570073442
11,1454621556,milestoned,Mar1 Deliverable,group7/user2,2,539834107
11,1454621556,labeled,design,group7/user2,2,539834106
11,1454621556,labeled,feature,group7/user2,2,539834105
11,1454621556,labeled,discussion,group7/user2,2,539834104
11,1454621556,labeled,Mar 1,group7/user2,2,539834103
12,1455136453,closed,closed,group7/user3,5,546341910
12,1454625053,labeled,discussion,group7/user2,5,539901787
12,1454625034,milestoned,Feb10,group7/user2,5,539901482
