id,time,sha,user,message
1,1461278008,baf3cf2f733507ea382ba04effeb5234583aec36,group8/user3,"Merge pull request #90 from nikign/decision_tree

Decision tree"
2,1460665202,c4dcbda01bb2a78bbb4cf335f4038919cce11b66,group8/user4,updated presentation
3,1460653341,14eb6f60beb1b5ddb1fdda6286c74e0f46c0985c,group8/user4,Merge branch 'master' of github.com:nikign/SE-16
4,1460653328,0f19b8ba8675359f625a66acc517d754d9d05155,group8/user4,updated the presentation
5,1460150903,2b01c1f76408fe8e4a17218b5882ae3fdc081faf,group8/user1,Update README.md
6,1460150725,c6b91fce26ca15074e8170c94d5658a129ef7dc7,group8/user1,Update README.md
7,1460150419,91ada85b7872b9d5eefaaef16f2cd96e66abcd73,group8/user1,Update README.md
8,1460150317,2817b05940cb61b6f0444d52e56503691a601c74,group8/user1,update
9,1460087909,cd1d4fc6910cde72b626a22fa24aa81633108507,group8/user4,report updated
10,1460087806,9560ed68866372c7a8a8abf2ca77224a4678090e,group8/user4,readme updated
11,1460087551,c88188287236fadef1c0f7567d3bf8171fece7f2,group8/user4,added lecture
12,1460087273,46345e447037e5a5e512767e993d5ea79c5ed080,group8/user4,Merge branch 'master' of github.com:nikign/SE-16
13,1460087245,8481fdea71f1b6b2a79b36b95b9ba5fb14330727,group8/user4,final report
14,1459229299,1aec92fc180aa8b296593d86cd9c5c20aaeebcfc,group8/user3,Updated compatibility between Mac and Windows
15,1459228740,681ce75d3445d4796ed592fb29ceeba9512c284d,group8/user1,Merge branch 'master' of https://github.com/nikign/Git-Helper
16,1459228725,01fa7d7611645b46c343f4a61c255543ead23510,group8/user1,add new crawling data
17,1459228622,8ae13783bd2d7acd33e43da14ed52dbb0555936d,group8/user2,update search engine data
18,1459228590,4ed8107a2ec9146ae27f621f1b782ec8b1f327dd,group8/user2,update search engine
19,1459213502,630598df8a97e5dae870671827643d21e2fc7c91,group8/user1,add
20,1459213410,d983345368f59af3d602829d52cb1db5bdbc285e,group8/user1,update
21,1459213327,c7d44d4674bfe016d3027f52bd19bd1311e7276a,group8/user1,ignore the unrelative words
