id,time,sha,user,message
1,1461893413,4ff51cd738a8537c22764262ba976fdfb6970aa0,group3/user2,save
2,1461759799,b0e8775a85a66e9dcf12807a807d4b8fda993dd8,group3/user3,gitable
3,1461533362,818237c3c8d275c7a9c4c7c57836c7ba0bcc7350,group3/user3,badsmell
4,1461533094,43fe6123db9bc6a769f35faa76b76ac56dd3e122,group3/user3,Merge branch 'master' of https://github.com/azhe825/CSC510
5,1461533084,04c12fc8ea6428120cf1c8a147ca2bfcc28370c3,group3/user3,badsmell
6,1461526537,2b400744ba4c29b172addcaf641dad7c59f77928,group3/user3,Update README.md
7,1461507058,0b3a864e17aae02818bfedfd9f2e8da79bc74a30,group3/user3,badsmell
8,1461506543,954d16273092243ae12983b427c6910d1dae60f3,group3/user3,badsmell
9,1461506153,64eb2805d7258050bc39e93e93808da3833f0ec0,group3/user3,badsmell
10,1461356600,8cfb015ffebaae791be23becdd4812b0b4d97799,group3/user3,badsmell
11,1461355519,86758710ed765de09155022066d7dba26780decc,group3/user3,badsmell
12,1461351172,22dc0d8cc08b5282a1894c73a57ac9596b812b80,group3/user3,badsmell
13,1461350083,2ee455108ff3e45ebcc47fef6dbc773d3bbc010f,group3/user3,badsmell
14,1461099321,aa11154e66e1a53d95de3c0d4efe4cddfeeb5e51,group3/user1,bugfixed
15,1461097371,62e8709cfceab4f2179dd135f0ac7e0a0b5695af,group3/user1,Added files via upload
16,1461064592,dd3104043d78c4e09e0442725dc7351736428f3a,group3/user1,Added files via upload
17,1461010282,e7ce455ed0c577f2d8f13a3d6bfcd16b8c803f83,group3/user4,update demo link
18,1460943123,d12f2994f0e4fb1cd18cdbb165babdb66d658fb6,group3/user4,update the demo link
19,1460834721,d0d5259a743ae48caaa7de0f4cc558a8bf8d14fc,group3/user3,cor
20,1460834596,4289bb35ecf309f21a150f7c5512f5e86416571f,group3/user3,cor
21,1460487221,28991bf93618a02ff23114e941439fbbcac1fca1,group3/user3,minor
22,1460487208,a4a3e1fd75372bd326807ed8e3b86afc448000da,group3/user3,minor
23,1460402743,b1766c8d2932e0d5fad7f0288143644ccc4fa434,group3/user3,correction
24,1460402727,bfa3e881f603522fa9c608aeb08b40f275025e72,group3/user3,correction
25,1460212070,9eab269c2be3e05bc9704bb79e98effd1cd19e2b,group3/user3,telemetry
